date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:05:41	476/476	---MCZ	200	added ('OK')	text/css	etag:W/%225e2feb7a-1dc%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/css/plugins/switchery.min.css	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/css/plugins/switchery.min.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:41	3082/3082	---MCZ	200	added ('OK')	text/css	etag:W/%225ed37e3f-c0a%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/css/pages/dashboard2.min.css	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/css/pages/dashboard2.min.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:41	26681/26681	---MCZ	200	added ('OK')	text/css	etag:W/%225dd91471-6839%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/fonts/weathericons/css/weather-icons.min.css	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/fonts/weathericons/css/weather-icons.min.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:42	126816/126816	---MCZ	200	added ('OK')	text/css	etag:W/%225dd91471-1ef60%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/fonts/weathericons/css/weather-icons-wind.min.css	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/fonts/weathericons/css/weather-icons-wind.min.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:42	513/513	---MCZ	200	added ('OK')	text/css	etag:W/%225dd91471-201%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/assets/css/style.css	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/assets/css/style.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:42	564/564	---M--	200	added ('OK')	image/png	etag:%225dd91471-234%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/flags/us.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/flags/us.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:42	287/287	---M--	200	added ('OK')	image/png	etag:%225dd91471-11f%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/flags/es.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/flags/es.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:43	940/940	---M--	200	added ('OK')	image/png	etag:%225e4e22ab-3ac%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/flags/pt.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/flags/pt.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:43	99/99	---M--	200	added ('OK')	image/png	etag:%225dd91471-63%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/flags/de.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/flags/de.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:44	22166/22166	---M--	200	added ('OK')	image/png	etag:%225e2feb7a-5696%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/portrait/small/avatar-s-20.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/portrait/small/avatar-s-20.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
